NAME|UIF|PAYE|CIPC|ADDRESS
Prestige Payrolls|1775472/4|7890764444|2005/081826/23|1 Kingsbarns Road, Sunningdale, 7441
Bravo Meat Market Maitland (Pty) Ltd|2413510/8|7700796784|2017/012271/07|274 Voortrekker Road, Maitland, 7405
